component	path	symbol_or_entry	interface	trust_boundary	evidence
validate_schema.py	Documentation/common/schema/validate_schema.py	entry point	local executable or service	process/network boundary	Documentation/common/schema/validate_schema.py
conf.py	Documentation/conf.py	entry point	local executable or service	process/network boundary	Documentation/conf.py
documents.py	Documentation/documents.py	entry point	local executable or service	process/network boundary	Documentation/documents.py
create_rst.py	Documentation/en/backendlogs/create_rst.py	entry point	local executable or service	process/network boundary	Documentation/en/backendlogs/create_rst.py
podl.py	Documentation/podl/podl.py	entry point	local executable or service	process/network boundary	Documentation/podl/podl.py
Audit.java	auditor/src/main/java/ee/ivxv/audit/Audit.java	entry point	local executable or service	process/network boundary	auditor/src/main/java/ee/ivxv/audit/Audit.java
main.go	choices/cmd/choiceimp/main.go	entry point	local executable or service	process/network boundary	choices/cmd/choiceimp/main.go
main.go	choices/cmd/districtimp/main.go	entry point	local executable or service	process/network boundary	choices/cmd/districtimp/main.go
main.go	choices/cmd/voterimp/main.go	entry point	local executable or service	process/network boundary	choices/cmd/voterimp/main.go
main.go	choices/service/choices/main.go	entry point	local executable or service	process/network boundary	choices/service/choices/main.go
agent_daemon.py	collector-admin/ivxv_admin/agent_daemon.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/agent_daemon.py
__init__.py	collector-admin/ivxv_admin/cli_utils/__init__.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/cli_utils/__init__.py
admin_storage_utils.py	collector-admin/ivxv_admin/cli_utils/admin_storage_utils.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/cli_utils/admin_storage_utils.py
backup_utils.py	collector-admin/ivxv_admin/cli_utils/backup_utils.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/cli_utils/backup_utils.py
command_load.py	collector-admin/ivxv_admin/cli_utils/config_utils/command_load.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/cli_utils/config_utils/command_load.py
config_apply.py	collector-admin/ivxv_admin/cli_utils/config_utils/config_apply.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/cli_utils/config_utils/config_apply.py
config_validate.py	collector-admin/ivxv_admin/cli_utils/config_utils/config_validate.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/cli_utils/config_utils/config_validate.py
load_secret_data_file.py	collector-admin/ivxv_admin/cli_utils/config_utils/load_secret_data_file.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/cli_utils/config_utils/load_secret_data_file.py
voter_list_download.py	collector-admin/ivxv_admin/cli_utils/config_utils/voter_list_download.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/cli_utils/config_utils/voter_list_download.py
service_utils.py	collector-admin/ivxv_admin/cli_utils/service_utils.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/cli_utils/service_utils.py
status_utils.py	collector-admin/ivxv_admin/cli_utils/status_utils.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/cli_utils/status_utils.py
collector_state.py	collector-admin/ivxv_admin/collector_state.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/collector_state.py
command_file.py	collector-admin/ivxv_admin/command_file.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/command_file.py
config.py	collector-admin/ivxv_admin/config.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/config.py
choices_list.py	collector-admin/ivxv_admin/config_validator/choices_list.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/config_validator/choices_list.py
election_conf.py	collector-admin/ivxv_admin/config_validator/election_conf.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/config_validator/election_conf.py
fields.py	collector-admin/ivxv_admin/config_validator/fields.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/config_validator/fields.py
schemas.py	collector-admin/ivxv_admin/config_validator/schemas.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/config_validator/schemas.py
tech_conf.py	collector-admin/ivxv_admin/config_validator/tech_conf.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/config_validator/tech_conf.py
user_management.py	collector-admin/ivxv_admin/config_validator/user_management.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/config_validator/user_management.py
validator_util.py	collector-admin/ivxv_admin/config_validator/validator_util.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/config_validator/validator_util.py
voters_list.py	collector-admin/ivxv_admin/config_validator/voters_list.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/config_validator/voters_list.py
db.py	collector-admin/ivxv_admin/db.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/db.py
event_log.py	collector-admin/ivxv_admin/event_log.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/event_log.py
http_daemon.py	collector-admin/ivxv_admin/http_daemon.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/http_daemon.py
__init__.py	collector-admin/ivxv_admin/lib/__init__.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/lib/__init__.py
lockfile.py	collector-admin/ivxv_admin/lib/lockfile.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/lib/lockfile.py
__init__.py	collector-admin/ivxv_admin/service/__init__.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/service/__init__.py
backup_service.py	collector-admin/ivxv_admin/service/backup_service.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/service/backup_service.py
logging.py	collector-admin/ivxv_admin/service/logging.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/service/logging.py
remote_exec.py	collector-admin/ivxv_admin/service/remote_exec.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/service/remote_exec.py
service.py	collector-admin/ivxv_admin/service/service.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/service/service.py
wsgi.py	collector-admin/ivxv_admin/wsgi.py	entry point	local executable or service	process/network boundary	collector-admin/ivxv_admin/wsgi.py
main.go	common/collector/cmd/verifier/main.go	entry point	local executable or service	process/network boundary	common/collector/cmd/verifier/main.go
main.go	common/tools/go/cmd/gen/main.go	entry point	local executable or service	process/network boundary	common/tools/go/cmd/gen/main.go
update_project_version.py	common/tools/update_project_version.py	entry point	local executable or service	process/network boundary	common/tools/update_project_version.py
main.go	core/cmd/cms/main.go	entry point	local executable or service	process/network boundary	core/cmd/cms/main.go
main.go	core/cmd/errorgen/main.go	entry point	local executable or service	process/network boundary	core/cmd/errorgen/main.go
main.go	core/cmd/ts/main.go	entry point	local executable or service	process/network boundary	core/cmd/ts/main.go
Key.java	key/src/main/java/ee/ivxv/key/Key.java	entry point	local executable or service	process/network boundary	key/src/main/java/ee/ivxv/key/Key.java
main.go	mid/service/mid/main.go	entry point	local executable or service	process/network boundary	mid/service/mid/main.go
Processor.java	processor/src/main/java/ee/ivxv/processor/Processor.java	entry point	local executable or service	process/network boundary	processor/src/main/java/ee/ivxv/processor/Processor.java
main.go	proxy/service/proxy/main.go	entry point	local executable or service	process/network boundary	proxy/service/proxy/main.go
main.go	sessionstatus/service/sessionstatus/main.go	entry point	local executable or service	process/network boundary	sessionstatus/service/sessionstatus/main.go
setup.py	setup.py	entry point	local executable or service	process/network boundary	setup.py
main.go	smartid/service/smartid/main.go	entry point	local executable or service	process/network boundary	smartid/service/smartid/main.go
main.go	storage/cmd/storageidx/main.go	entry point	local executable or service	process/network boundary	storage/cmd/storageidx/main.go
main.go	storage/cmd/storageorder/main.go	entry point	local executable or service	process/network boundary	storage/cmd/storageorder/main.go
main.go	storage/service/storage/main.go	entry point	local executable or service	process/network boundary	storage/service/storage/main.go
main.go	verification/service/verification/main.go	entry point	local executable or service	process/network boundary	verification/service/verification/main.go
main.go	votesorder/service/votesorder/main.go	entry point	local executable or service	process/network boundary	votesorder/service/votesorder/main.go
main.go	voting/cmd/voteexp/main.go	entry point	local executable or service	process/network boundary	voting/cmd/voteexp/main.go
main.go	voting/cmd/voterstats/main.go	entry point	local executable or service	process/network boundary	voting/cmd/voterstats/main.go
main.go	voting/cmd/voteunion/main.go	entry point	local executable or service	process/network boundary	voting/cmd/voteunion/main.go
main.go	voting/service/voting/main.go	entry point	local executable or service	process/network boundary	voting/service/voting/main.go
main.go	webeid/service/webeid/main.go	entry point	local executable or service	process/network boundary	webeid/service/webeid/main.go
main.go	xroad-service/cmd/main.go	entry point	local executable or service	process/network boundary	xroad-service/cmd/main.go
